customer_id,customer_type,full_name_en,full_name_ar,id_number,id_type,date_of_birth,nationality,address_line1,address_line2,city,emirate,country,postal_code,phone_primary,phone_secondary,email_primary,email_secondary,address_known,last_contact_date,last_contact_method,kyc_status,kyc_expiry_date,risk_rating,account_id,account_type,account_subtype,account_name,currency,account_status,dormancy_status,opening_date,closing_date,last_transaction_date,last_system_transaction_date,balance_current,balance_available,balance_minimum,interest_rate,interest_accrued,is_joint_account,joint_account_holders,has_outstanding_facilities,maturity_date,auto_renewal,last_statement_date,statement_frequency,tracking_id,dormancy_trigger_date,dormancy_period_start,dormancy_period_months,dormancy_classification_date,transfer_eligibility_date,current_stage,contact_attempts_made,last_contact_attempt_date,waiting_period_start,waiting_period_end,transferred_to_ledger_date,transferred_to_cb_date,cb_transfer_amount,cb_transfer_reference,exclusion_reason,created_date,updated_date,updated_by
CUS335113,INDIVIDUAL,Aisha Al-Zaabi,Aisha Al-Zaabi,78419984656838,EMIRATES_ID,1984-12-09,JORDAN,"Building 786, Street 24",Area 6,Dubai,UMM_AL_QUWAIN,UAE,31465,+97155218367,,aisha.al-zaabi@gmail.com,aisha.al-zaabi@hotmail.com,NO,2022-07-21,EMAIL,COMPLIANT,2026-12-27,HIGH,ACC2151225,CURRENT,INDIVIDUAL,CURRENT - Aisha Al-Zaabi,USD,DORMANT,FLAGGED,2021-03-30,,2021-10-22,2021-10-25,31104.65,29220.908865016023,500,0.0,0.0,NO,3.0,YES,,,2021-08-03,ANNUAL,TRK920652,2024-10-21,2024-10-21,38.0,2024-10-21,,WAITING,1,2022-07-21,2022-07-22,2022-10-19,,,,,,2021-03-30 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS658623,CORPORATE,Hassan Al-Mazrouei,Hassan Al-Mazrouei,78420023566765,EMIRATES_ID,1983-03-24,INDIA,"Building 535, Street 42",Area 9,Ajman,AJMAN,UAE,67091,+97159940074,,hassan.al-mazrouei@yahoo.com,hassan.al-mazrouei@gmail.com,NO,2022-10-28,LETTER,COMPLIANT,2025-10-20,HIGH,ACC8186990,FIXED_DEPOSIT,TERM_DEPOSIT,FIXED_DEPOSIT - Hassan Al-Mazrouei,GBP,DORMANT,FLAGGED,2018-06-04,,2021-11-07,2021-11-17,85107.99,68574.91182464336,0,3.9,1470.12,YES,,NO,2020-01-06,NO,2021-09-17,QUARTERLY,TRK725113,2024-11-06,2024-11-06,80.0,2024-11-06,,WAITING,2,2022-10-28,2022-10-29,2023-01-26,,,,,,2018-06-04 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS682789,CORPORATE,Aisha Al-Mazrouei,Aisha Al-Mazrouei,78419941289293,EMIRATES_ID,1972-05-08,PAKISTAN,"Building 415, Street 45",Area 8,Sharjah,RAS_AL_KHAIMAH,UAE,86225,+97156191135,,aisha.al-mazrouei@outlook.com,,NO,2019-12-06,SMS,PENDING,2025-05-10,MEDIUM,ACC1170307,SAVINGS,INDIVIDUAL,SAVINGS - Aisha Al-Mazrouei,USD,DORMANT,FLAGGED,2021-03-23,,2019-03-08,2019-03-11,27803.29,26253.44748726296,500,1.76,1104.21,YES,,NO,,,2019-01-20,ANNUAL,TRK718226,2022-03-07,2022-03-07,84.0,2022-03-07,2024-03-06,WAITING,5,2019-12-06,2019-12-07,2020-03-05,,,27803.29,CB205409,,2021-03-23 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS973074,CORPORATE,Mariam Al-Zaabi,Mariam Al-Zaabi,78420023118618,EMIRATES_ID,1990-08-04,INDIA,"Building 894, Street 1",Area 19,Sharjah,AJMAN,UAE,72746,+97157389840,,mariam.al-zaabi@gmail.com,,NO,,,COMPLIANT,2024-07-16,LOW,ACC4256752,FIXED_DEPOSIT,TERM_DEPOSIT,FIXED_DEPOSIT - Mariam Al-Zaabi,SAR,DORMANT,FLAGGED,2022-07-02,,2021-11-04,2021-11-24,71093.83,66635.55039904403,0,1.11,3017.63,NO,,YES,2025-01-13,YES,2021-09-28,ANNUAL,TRK901577,2024-11-03,2024-11-03,62.0,2024-11-03,,CONTACTED,0,,,,,,,,,2022-07-02 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS913373,INDIVIDUAL,Sara Al-Dhaheri,Sara Al-Dhaheri,78419992664863,EMIRATES_ID,2000-04-21,JORDAN,"Building 217, Street 17",Area 3,Abu Dhabi,ABU_DHABI,UAE,32782,+97159260893,,sara.al-dhaheri@gmail.com,,NO,2019-07-28,SMS,COMPLIANT,2024-05-23,MEDIUM,ACC9767312,INVESTMENT,SECURITIES,INVESTMENT - Sara Al-Dhaheri,GBP,DORMANT,FLAGGED,2020-06-30,,2018-08-15,2018-08-17,49502.56,46407.51064978437,0,4.2,2055.01,YES,,YES,,,2018-06-05,MONTHLY,TRK378535,2021-08-14,2021-08-14,45.0,2021-08-14,2023-08-14,FLAGGED,4,2019-07-28,2019-07-29,2019-10-26,,,49502.56,CB162535,,2020-06-30 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS273982,INDIVIDUAL,Fatima Al-Kaabi,Fatima Al-Kaabi,78419936407658,EMIRATES_ID,1989-05-01,SYRIA,"Building 94, Street 15",Area 19,Dubai,UMM_AL_QUWAIN,UAE,98117,+97154521644,+97152939212,fatima.al-kaabi@hotmail.com,,NO,2020-05-30,SMS,COMPLIANT,2026-07-21,MEDIUM,ACC6160869,FIXED_DEPOSIT,CERTIFICATE_DEPOSIT,FIXED_DEPOSIT - Fatima Al-Kaabi,AED,DORMANT,FLAGGED,2020-11-12,,2020-03-20,2020-04-04,70273.63,61109.40130489189,0,1.83,2586.44,YES,,NO,2024-09-01,NO,2020-02-01,ANNUAL,TRK519904,2023-03-20,2023-03-20,84.0,2023-03-20,,FLAGGED,3,2020-05-30,2020-05-31,2020-08-28,,,,,,2020-11-12 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS576919,INDIVIDUAL,Mariam Al-Mansouri,Mariam Al-Mansouri,78419967069650,EMIRATES_ID,1989-08-21,JORDAN,"Building 453, Street 49",Area 2,Abu Dhabi,SHARJAH,UAE,81987,+97152198037,+97157350368,mariam.al-mansouri@hotmail.com,,YES,2019-10-24,EMAIL,EXPIRED,2026-01-18,MEDIUM,ACC2477398,FIXED_DEPOSIT,CERTIFICATE_DEPOSIT,FIXED_DEPOSIT - Mariam Al-Mansouri,AED,DORMANT,FLAGGED,2023-11-28,,2019-08-28,2019-09-04,86626.15,86492.00315916423,0,4.15,2465.2,YES,,YES,2028-08-04,NO,2019-06-28,ANNUAL,TRK406039,2022-08-27,2022-08-27,68.0,2022-08-27,2024-08-26,WAITING,3,2019-10-24,2019-10-25,2020-01-22,,,86626.15,CB535673,,2023-11-28 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS975271,INDIVIDUAL,Sara Al-Shamsi,Sara Al-Shamsi,78419887961578,EMIRATES_ID,1980-09-09,EGYPT,"Building 841, Street 1",Area 10,Sharjah,UMM_AL_QUWAIN,UAE,86931,+97159729499,+97158214801,sara.al-shamsi@yahoo.com,,NO,2020-01-16,SMS,EXPIRED,2026-09-13,MEDIUM,ACC9094999,INVESTMENT,MUTUAL_FUND,INVESTMENT - Sara Al-Shamsi,EUR,DORMANT,FLAGGED,2017-03-13,,2019-10-09,2019-11-05,9611.46,8051.812948758179,0,3.29,315.95,YES,2.0,YES,,,2019-08-20,ANNUAL,TRK595951,2022-10-08,2022-10-08,81.0,2022-10-08,2024-10-07,TRANSFER_READY,4,2020-01-16,2020-01-17,2020-04-15,,,9611.46,CB504832,,2017-03-13 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS795928,CORPORATE,Mohammed Al-Shamsi,Mohammed Al-Shamsi,78419803418526,EMIRATES_ID,1983-11-05,PHILIPPINES,"Building 77, Street 31",Area 9,Sharjah,FUJAIRAH,UAE,62098,+97151347467,+97158952696,mohammed.al-shamsi@hotmail.com,mohammed.al-shamsi@hotmail.com,YES,,,PENDING,2024-04-21,HIGH,ACC3551903,INVESTMENT,MUTUAL_FUND,INVESTMENT - Mohammed Al-Shamsi,EUR,DORMANT,FLAGGED,2018-12-25,,2020-01-23,2020-01-30,43498.05,41295.016151736934,0,2.24,606.26,YES,,NO,,,2019-10-28,MONTHLY,TRK148225,2023-01-22,2023-01-22,56.0,2023-01-22,,FLAGGED,0,,,,,,,,,2018-12-25 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS407618,CORPORATE,Mohammed Al-Zaabi,Mohammed Al-Zaabi,78419995040453,EMIRATES_ID,1985-10-05,PHILIPPINES,"Building 238, Street 30",Area 9,Ajman,SHARJAH,UAE,97404,+97150157662,+97157805654,mohammed.al-zaabi@outlook.com,,YES,2019-10-21,PHONE,EXPIRED,2025-10-10,HIGH,ACC7014016,FIXED_DEPOSIT,CERTIFICATE_DEPOSIT,FIXED_DEPOSIT - Mohammed Al-Zaabi,GBP,DORMANT,FLAGGED,2015-01-12,,2019-08-12,2019-09-03,57026.88,48473.96828630221,0,3.88,1024.7,NO,1.0,YES,2017-01-14,YES,2019-06-19,ANNUAL,TRK476395,2022-08-11,2022-08-11,72.0,2022-08-11,2024-08-10,WAITING,1,2019-10-21,2019-10-22,2020-01-19,,,57026.88,CB833247,,2015-01-12 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS409571,CORPORATE,Ahmed Al-Shamsi,Ahmed Al-Shamsi,78420044860745,EMIRATES_ID,1989-06-08,JORDAN,"Building 652, Street 13",Area 20,Sharjah,RAS_AL_KHAIMAH,UAE,96400,+97152294774,+97150661401,ahmed.al-shamsi@outlook.com,ahmed.al-shamsi@gmail.com,NO,2018-11-08,EMAIL,COMPLIANT,2025-06-24,MEDIUM,ACC1368085,INVESTMENT,SECURITIES,INVESTMENT - Ahmed Al-Shamsi,USD,DORMANT,FLAGGED,2023-05-16,,2018-01-28,2018-02-03,38937.75,32179.401032942966,0,2.66,1902.48,NO,2.0,NO,,,2017-11-08,QUARTERLY,TRK882824,2021-01-27,2021-01-27,57.0,2021-01-27,2023-01-27,FLAGGED,4,2018-11-08,2018-11-09,2019-02-06,,,38937.75,CB591081,,2023-05-16 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS178957,CORPORATE,Omar Al-Suwaidi,Omar Al-Suwaidi,78419973073474,EMIRATES_ID,1984-06-22,JORDAN,"Building 767, Street 44",Area 9,Ajman,UMM_AL_QUWAIN,UAE,93695,+97156232293,,omar.al-suwaidi@yahoo.com,,NO,2018-11-24,EMAIL,PENDING,2024-11-27,MEDIUM,ACC3361510,SAVINGS,JOINT,SAVINGS - Omar Al-Suwaidi,EUR,DORMANT,FLAGGED,2015-01-20,,2018-10-18,2018-11-07,18352.17,16180.358991170579,500,1.06,878.16,NO,1.0,YES,,,2018-09-03,ANNUAL,TRK242254,2021-10-17,2021-10-17,60.0,2021-10-17,2023-10-17,TRANSFER_READY,3,2018-11-24,2018-11-25,2019-02-22,,,18352.17,CB489033,,2015-01-20 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS803055,CORPORATE,Fatima Al-Suwaidi,Fatima Al-Suwaidi,78419868438733,EMIRATES_ID,1984-04-28,PAKISTAN,"Building 372, Street 7",Area 12,Sharjah,DUBAI,UAE,62184,+97154628522,,fatima.al-suwaidi@gmail.com,fatima.al-suwaidi@hotmail.com,YES,,,PENDING,2024-11-21,HIGH,ACC8031780,SAVINGS,MINOR,SAVINGS - Fatima Al-Suwaidi,AED,DORMANT,FLAGGED,2020-10-13,,2018-06-21,2018-06-22,20464.98,19592.331111552383,500,1.47,307.73,YES,,YES,,,2018-04-15,MONTHLY,TRK952547,2021-06-20,2021-06-20,50.0,2021-06-20,2023-06-20,WAITING,0,,,,,,20464.98,CB911984,,2020-10-13 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS254721,CORPORATE,Mohammed Al-Shamsi,Mohammed Al-Shamsi,78419803923366,EMIRATES_ID,1978-01-05,INDIA,"Building 760, Street 27",Area 17,Dubai,RAS_AL_KHAIMAH,UAE,18330,+97157990081,,mohammed.al-shamsi@outlook.com,,YES,2021-05-10,LETTER,PENDING,2024-10-02,HIGH,ACC1047572,FIXED_DEPOSIT,TERM_DEPOSIT,FIXED_DEPOSIT - Mohammed Al-Shamsi,SAR,DORMANT,FLAGGED,2023-08-19,,2020-12-10,2020-12-19,11882.71,10594.725291551069,0,4.36,147.74,NO,2.0,YES,2025-05-14,YES,2020-10-10,ANNUAL,TRK565108,2023-12-10,2023-12-10,40.0,2023-12-10,,FLAGGED,2,2021-05-10,2021-05-11,2021-08-08,,,,,,2023-08-19 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS437758,CORPORATE,Ali Al-Shamsi,Ali Al-Shamsi,78419949481739,EMIRATES_ID,1989-07-04,SYRIA,"Building 813, Street 45",Area 4,Abu Dhabi,AJMAN,UAE,69186,+97153833486,,ali.al-shamsi@hotmail.com,,YES,2019-07-23,SMS,EXPIRED,2025-11-09,MEDIUM,ACC3488628,CURRENT,INDIVIDUAL,CURRENT - Ali Al-Shamsi,USD,DORMANT,FLAGGED,2020-04-10,,2018-08-22,2018-09-12,27462.99,27039.97776130461,500,0.0,0.0,YES,,YES,,,2018-07-18,QUARTERLY,TRK201255,2021-08-21,2021-08-21,83.0,2021-08-21,2023-08-21,WAITING,3,2019-07-23,2019-07-24,2019-10-21,,,27462.99,CB951201,,2020-04-10 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS236435,CORPORATE,Omar Al-Dhaheri,Omar Al-Dhaheri,78419839512969,EMIRATES_ID,1976-03-22,JORDAN,"Building 494, Street 15",Area 4,Sharjah,UMM_AL_QUWAIN,UAE,82910,+97156166651,,omar.al-dhaheri@outlook.com,,NO,2018-09-16,PHONE,PENDING,2026-12-09,LOW,ACC2006313,FIXED_DEPOSIT,TERM_DEPOSIT,FIXED_DEPOSIT - Omar Al-Dhaheri,USD,DORMANT,FLAGGED,2019-03-06,,2018-03-11,2018-03-19,94171.86,88572.3780920943,0,1.74,2221.8,YES,,YES,2020-06-18,NO,2018-01-04,ANNUAL,TRK520252,2021-03-10,2021-03-10,40.0,2021-03-10,2023-03-10,CONTACTED,4,2018-09-16,2018-09-17,2018-12-15,,,94171.86,CB876962,,2019-03-06 00:00:00,2024-12-01 00:00:00,SYSTEM
CUS763928,CORPORATE,Hassan Al-Zaabi,Hassan Al-Zaabi,78420042425342,EMIRATES_ID,1998-01-05,PAKISTAN,"Building 162, Street 49",Area 20,Dubai,RAS_AL_KHAIMAH,UAE,20693,+97154565128,,hassan.al-zaabi@hotmail.com,,NO,2020-02-01,LETTER,EXPIRED,2024-09-04,MEDIUM,ACC1514340,CURRENT,JOINT,CURRENT - Hassan Al-Zaabi,GBP,DORMANT,FLAGGED,2022-02-26,,2019-07-27,2019-07-30,22736.92,19477.566466100314,500,0.0,0.0,NO,,NO,,,2019-06-25,MONTHLY,TRK514463,2022-07-26,2022-07-26,74.0,2022-07-26,2024-07-25,FLAGGED,2,2020-02-01,2020-02-02,2020-05-01,,,22736.92,CB108060,,2022-02-26 00:00:00,2024-12-01 00:00:00,SYSTEM
